11.10.2015 13:54:16	Mann	Samboer	30	2	2	2	1	2	2	1	1	2	1	1	0	0	1	1	2	2	1	2	1	0	1	2	1	2	2	1	0	1	0	2	2	2	1	0	0	1	2	0	2	2	2	2	2	1	1	1	2	2	1	1	2	2	0	2	1	1	0	2	1	2
11.16.2015 14:15:59	Mann	Enslig	23	2	2	2	0	2	2	0	2	1	2	2	2	1	2	2	2	0	2	0	1	2	1	2	0	2	2	2	0	0	0	0	2	2	1	0	0	2	1	1	2	2	2	2	0	2	2	2	2	2	1	0	2	1	0	2	2	2	0	2	2	2
11.16.2015 14:17:40	Mann	Enslig	24	2	2	2	0	0	0	0	0	0	2	0	2	0	2	0	2	0	2	2	0	0	2	2	0	2	2	2	0	2	2	0	2	0	0	0	0	2	0	0	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	0	0	0	2	1	1
11.16.2015 14:18:17	Kvinne	Gift/Partner	24	0	1	2	1	2	2	1	2	2	2	0	0	2	0	2	1	0	0	0	0	1	2	1	1	1	1	0	1	1	2	0	0	0	0	1	1	2	2	1	1	0	0	0	0	0	0	0	0	1	2	2	1	2	0	1	2	1	0	1	1	0
11.16.2015 14:22:38	Mann	Annet	24	2	2	2	0	2	2	2	1	2	2	2	0	2	2	2	2	2	2	2	1	1	1	1	1	0	2	2	0	1	1	0	1	1	2	0	0	2	1	0	2	1	1	1	1	1	1	1	0	1	2	1	1	2	0	1	1	1	0	1	1	0
11.16.2015 14:22:39	Mann	Gift/Partner	24	2	2	2	0	2	1	1	0	1	1	1	0	0	1	1	2	2	2	2	2	0	2	2	1	2	2	0	1	1	0	2	2	2	1	0	0	1	1	1	2	2	2	2	2	2	2	2	2	2	1	1	2	2	0	2	1	1	1	2	2	2
11.16.2015 14:22:45	Kvinne	Enslig	23	2	2	2	1	2	2	1	2	1	2	2	0	1	1	2	1	1	2	1	1	2	1	2	1	1	2	2	1	1	1	1	1	1	2	2	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
11.16.2015 14:25:06	Mann	Gift/Partner	23	2	2	2	1	2	2	2	2	1	2	1	1	1	1	1	2	1	2	2	2	2	1	2	1	1	2	1	1	1	1	1	2	2	2	1	1	1	1	1	2	2	2	2	1	1	2	2	1	2	2	2	1	2	2	1	2	2	1	2	1	2
11.16.2015 14:25:46	Kvinne	Separert	54	2	1	2	2	2	2	1	2	1	2	1	1	2	1	2	2	2	2	0	2	2	1	2	1	1	2	2	1	2	1	2	2	2	1	1	1	2	2	2	2	2	1	2	1	1	2	1	2	2	2	1	1	1	0	2	0	2	1	2	1	0
11.16.2015 14:28:25	Kvinne	Samboer	25	2	2	1	1	2	1	1	2	2	1	1	0	0	2	2	1	0	2	1	0	0	1	0	2	0	2	0	2	0	1	1	1	0	0	2	0	2	0	1	2	2	2	2	0	1	2	2	0	2	2	1	1	2	2	0	2	2	2	2	2	2
11.16.2015 14:32:12	Kvinne	Gift/Partner	30	1	2	1	1	2	2	1	2	1	2	2	2	1	2	2	2	1	2	1	1	2	2	2	1	1	2	1	1	1	2	2	2	2	1	1	1	2	2	1	1	2	2	2	1	0	2	2	2	2	2	1	2	2	0	2	2	2	0	2	2	2
11.16.2015 14:32:56	Kvinne	Samboer	22	1	2	1	1	2	1	0	2	1	1	0	0	2	1	2	1	0	0	0	0	2	2	0	1	0	1	2	0	1	2	0	1	1	0	0	2	2	1	0	2	1	2	2	1	0	0	1	2	2	2	1	1	1	2	0	0	0	1	2	1	2
